,region,code,full_indicator_name,year,value
30,East Asia & Pacific,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,49.1380748552177
31,East Asia & Pacific,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
32,East Asia & Pacific,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
33,East Asia & Pacific,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
34,East Asia & Pacific,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
35,East Asia & Pacific,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
36,Euro area,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
37,Euro area,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
38,Euro area,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
39,Euro area,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
40,Euro area,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
41,Euro area,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
42,Euro area,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,52.01829769810929
43,Euro area,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
44,Euro area,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
45,Euro area,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
46,Euro area,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
47,Euro area,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
48,Europe & Central Asia,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
49,Europe & Central Asia,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
50,Europe & Central Asia,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
51,Europe & Central Asia,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
52,Europe & Central Asia,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
53,Europe & Central Asia,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
54,Europe & Central Asia,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,52.5939310381328
55,Europe & Central Asia,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
56,Europe & Central Asia,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
57,Europe & Central Asia,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
58,Europe & Central Asia,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
59,Europe & Central Asia,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
60,European Union,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
61,European Union,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
62,European Union,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
63,European Union,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
64,European Union,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
65,European Union,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
66,European Union,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,51.8008240803152
67,European Union,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
68,European Union,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
69,European Union,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
70,European Union,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
71,European Union,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
72,Latin America & Caribbean,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
73,Latin America & Caribbean,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
74,Latin America & Caribbean,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
75,Latin America & Caribbean,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
76,Latin America & Caribbean,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
77,Latin America & Caribbean,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
78,Latin America & Caribbean,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,50.0329949543693
79,Latin America & Caribbean,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
80,Latin America & Caribbean,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
81,Latin America & Caribbean,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
82,Latin America & Caribbean,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
83,Latin America & Caribbean,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
84,Middle East & North Africa,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
85,Middle East & North Africa,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
86,Middle East & North Africa,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
87,Middle East & North Africa,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
88,Middle East & North Africa,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
89,Middle East & North Africa,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
90,Middle East & North Africa,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,49.3765809542885
91,Middle East & North Africa,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
92,Middle East & North Africa,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
93,Middle East & North Africa,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
94,Middle East & North Africa,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
95,Middle East & North Africa,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
96,North America,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
97,North America,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
98,North America,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
99,North America,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
100,North America,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
101,North America,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
102,North America,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,50.3673199551756
103,North America,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
104,North America,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
105,North America,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
106,North America,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
107,North America,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
108,Pacific island small states,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
109,Pacific island small states,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
110,Pacific island small states,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
111,Pacific island small states,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
112,Pacific island small states,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
113,Pacific island small states,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
114,Pacific island small states,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,48.4416722336561
115,Pacific island small states,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
116,Pacific island small states,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
117,Pacific island small states,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
118,Pacific island small states,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
119,Pacific island small states,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
120,South Asia,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
121,South Asia,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
122,South Asia,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
123,South Asia,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
124,South Asia,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
125,South Asia,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
126,South Asia,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,48.25363107824221
127,South Asia,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
128,South Asia,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
129,South Asia,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
130,South Asia,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
131,South Asia,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
132,Sub-Saharan Africa,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1960,
133,Sub-Saharan Africa,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1960,
134,Sub-Saharan Africa,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1960,
135,Sub-Saharan Africa,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1960,
136,Sub-Saharan Africa,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1960,
137,Sub-Saharan Africa,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1960,
138,Sub-Saharan Africa,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1960,50.4644638209786
139,Sub-Saharan Africa,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1960,
140,Sub-Saharan Africa,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,
141,Sub-Saharan Africa,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1960,
142,Sub-Saharan Africa,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1960,
143,Sub-Saharan Africa,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1960,
144,Arab World,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
145,Arab World,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
146,Arab World,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
147,Arab World,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
148,Arab World,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
149,Arab World,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
150,Arab World,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,49.6341133400301
151,Arab World,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
152,Arab World,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
153,Arab World,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
154,Arab World,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
155,Arab World,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
156,Caribbean small states,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
157,Caribbean small states,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
158,Caribbean small states,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
159,Caribbean small states,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
160,Caribbean small states,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
161,Caribbean small states,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
162,Caribbean small states,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,51.3140026033537
163,Caribbean small states,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
164,Caribbean small states,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
165,Caribbean small states,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
166,Caribbean small states,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
167,Caribbean small states,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
168,East Asia & Pacific,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
169,East Asia & Pacific,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
170,East Asia & Pacific,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
171,East Asia & Pacific,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
172,East Asia & Pacific,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
173,East Asia & Pacific,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
174,East Asia & Pacific,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,49.1674883377174
175,East Asia & Pacific,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
176,East Asia & Pacific,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
177,East Asia & Pacific,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
178,East Asia & Pacific,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
179,East Asia & Pacific,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
180,Euro area,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
181,Euro area,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
182,Euro area,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
183,Euro area,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
184,Euro area,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
185,Euro area,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
186,Euro area,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,51.974556846073
187,Euro area,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
188,Euro area,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
189,Euro area,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
190,Euro area,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
191,Euro area,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
192,Europe & Central Asia,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
193,Europe & Central Asia,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
194,Europe & Central Asia,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
195,Europe & Central Asia,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
196,Europe & Central Asia,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
197,Europe & Central Asia,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
198,Europe & Central Asia,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,52.536769283074705
199,Europe & Central Asia,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
200,Europe & Central Asia,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
201,Europe & Central Asia,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
202,Europe & Central Asia,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
203,Europe & Central Asia,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
204,European Union,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
205,European Union,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
206,European Union,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
207,European Union,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
208,European Union,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
209,European Union,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
210,European Union,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,51.7608559121797
211,European Union,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
212,European Union,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
213,European Union,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
214,European Union,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
215,European Union,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
216,Latin America & Caribbean,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
217,Latin America & Caribbean,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
218,Latin America & Caribbean,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
219,Latin America & Caribbean,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
220,Latin America & Caribbean,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
221,Latin America & Caribbean,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
222,Latin America & Caribbean,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,50.035484118123705
223,Latin America & Caribbean,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
224,Latin America & Caribbean,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
225,Latin America & Caribbean,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
226,Latin America & Caribbean,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
227,Latin America & Caribbean,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
228,Middle East & North Africa,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
229,Middle East & North Africa,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
230,Middle East & North Africa,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
231,Middle East & North Africa,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
232,Middle East & North Africa,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
233,Middle East & North Africa,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
234,Middle East & North Africa,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,49.3713673306903
235,Middle East & North Africa,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
236,Middle East & North Africa,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
237,Middle East & North Africa,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
238,Middle East & North Africa,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1961,
239,Middle East & North Africa,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1961,
240,North America,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1961,
241,North America,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1961,
242,North America,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1961,
243,North America,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1961,
244,North America,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1961,
245,North America,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1961,
246,North America,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1961,50.3882316901724
247,North America,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1961,
248,North America,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,
249,North America,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1961,
